,"X,Y",Fixed,density
358,"(72.82455096, 18.94882598)",0,0.5724444439999999
359,"(72.82739838, 18.94885938)",0,0.908222222
360,"(72.83024582, 18.94889273)",0,0.900444444
361,"(72.83309326, 18.94892605)",0,0.98
362,"(72.8359407, 18.94895931)",0,0.262888889
363,"(72.83878815, 18.94899254)",0,0.123555556
364,"(72.84163561, 18.94902572)",0,0.066666667
365,"(72.79326528, 18.94574641)",0,0.3626666670000001
366,"(72.79611259, 18.94578028)",0,0.130666667
367,"(72.82458608, 18.94611662)",0,0.289555556
368,"(72.82743346, 18.94615002)",0,0.5186666670000001
369,"(72.83028085, 18.94618337)",0,0.566222222
370,"(72.83312824, 18.94621667)",0,0.202444444
371,"(72.83597564, 18.94624994)",0,0.188888889
372,"(72.82462119, 18.94340727)",0,0.229777778
373,"(72.82746853, 18.94344065)",0,0.548222222
374,"(72.83031587, 18.943474)",0,0.172666667
375,"(72.83316322, 18.9435073)",0,0.239555556
376,"(72.82750359, 18.94073129)",0,0.255111111
377,"(72.83319819, 18.94079793)",0,0.130666667
378,"(72.8360455, 18.94083118)",0,0.14
379,"(72.83889281, 18.94086439)",0,0.07
380,"(72.82753865, 18.93802193)",0,0.135333333
381,"(72.83323316, 18.93808855)",0,0.233333333
382,"(72.83608042, 18.9381218)",0,0.437777778
383,"(72.83892768, 18.938155)",0,0.326666667
384,"(72.8247265, 18.93527919)",0,0.172666667
385,"(72.8275737, 18.93531256)",0,0.434
386,"(72.83326811, 18.93537918)",1,0.396666667
387,"(72.83611533, 18.93541242)",0,0.7140000000000001
388,"(72.83896255, 18.93544562)",0,0.27155555600000003
389,"(72.84180978, 18.93547877)",0,0.154
390,"(72.82476159, 18.93256983)",0,0.07933333299999999
391,"(72.8304559, 18.93263652)",0,0.101111111
392,"(72.83330307, 18.9326698)",0,0.434
393,"(72.83615024, 18.93270304)",0,0.287777778
394,"(72.83899741, 18.93273623)",0,0.196
395,"(72.82479668, 18.92986047)",0,0.112
396,"(72.82764379, 18.92989383)",0,0.186666667
397,"(72.83049090000002, 18.92992715)",0,0.14
398,"(72.83333802, 18.92996043)",0,0.420222222
399,"(72.83618514, 18.92999366)",0,0.186666667
400,"(72.83903227, 18.93002685)",0,0.046666667
401,"(72.8219847, 18.9271177)",0,0.108888889
402,"(72.82767882, 18.92718446)",0,0.101111111
403,"(72.83052589, 18.92721778)",0,0.126
404,"(72.83337296, 18.92725105)",0,0.308
405,"(72.82201982, 18.92440834)",0,0.163333333
406,"(72.82486683, 18.92444174)",0,0.146222222
407,"(72.82771385, 18.92447509)",1,0.132222222
408,"(72.83056087, 18.924508399999997)",0,0.168
409,"(72.83340789, 18.92454167)",0,0.186666667
410,"(72.82490190000001, 18.92173238)",0,0.189777778
411,"(72.83059584, 18.92179903)",0,0.527333333
412,"(72.83344282, 18.92183229)",0,0.202222222
413,"(72.82493696, 18.91902301)",1,0.188666667
414,"(72.82778388, 18.91905635)",0,0.373333333
415,"(72.83063081, 18.91908965)",0,0.410666667
416,"(72.81927828, 18.91624684)",0,0.112
417,"(72.82497202, 18.91631365)",1,0.194444444
418,"(72.82781889, 18.91634698)",0,0.5742222220000001
419,"(72.83066578, 18.91638028)",0,0.374888889
420,"(72.8079262, 18.91340337)",0,0.377777778
421,"(72.81931342, 18.91353748)",0,0.06844444400000001
422,"(72.82216024, 18.913570899999996)",0,0.250444444
423,"(72.82500707, 18.91360428)",0,0.129333333
424,"(72.81080827, 18.91072762)",0,0.189777778
425,"(72.81365502, 18.91076117)",0,0.419111111
426,"(72.81650179, 18.91079467)",0,0.558888889
427,"(72.81934855, 18.91082813)",0,0.287555556
428,"(72.82219533, 18.91086154)",0,0.127555556
429,"(72.80515013, 18.90795107)",0,0.046666667
430,"(72.81084354, 18.90801828)",0,0.08711111099999999
431,"(72.80518548, 18.90524173)",0,0.07933333299999999
