Index,FireTruck,Rescue_veh,Water truc,Ambulance,compact,X,Y,"X,Y",vehicles_list,potential
372,1,0,0,0,0.4289,72.8387,18.9544,"(72.8387, 18.9544)","[1, 0, 0, 0]",1
373,1,0,0,0,0.2116,72.8416,18.9545,"(72.8416, 18.9545)","[1, 0, 0, 0]",1
374,1,0,0,0,0.1182,72.7932,18.9511,"(72.7932, 18.9511)","[1, 0, 0, 0]",1
375,1,0,0,0,0.1556,72.796,18.9512,"(72.796, 18.9512)","[1, 0, 0, 0]",1
376,3,1,3,1,0.3733,72.8017,18.9512,"(72.8017, 18.9512)","[3, 1, 3, 1]",1
377,1,0,0,0,0.1242,72.8188,18.9514,"(72.8188, 18.9514)","[1, 0, 0, 0]",1
378,4,1,4,1,0.8578,72.8217,18.9515,"(72.8217, 18.9515)","[4, 1, 4, 1]",1
379,2,2,2,0,0.6833,72.8245,18.9515,"(72.8245, 18.9515)","[2, 2, 2, 0]",1
380,3,2,3,1,0.6956,72.8274,18.9516,"(72.8274, 18.9516)","[3, 2, 3, 1]",1
381,1,0,0,0,0.5882,72.8302,18.9516,"(72.8302, 18.9516)","[1, 0, 0, 0]",1
382,3,2,3,1,0.6793,72.8331,18.9517,"(72.8331, 18.9517)","[3, 2, 3, 1]",1
383,1,0,0,0,0.6533,72.8359,18.9516,"(72.8359, 18.9516)","[1, 0, 0, 0]",1
384,1,0,0,0,0.3444,72.8388,18.9517,"(72.8388, 18.9517)","[1, 0, 0, 0]",1
385,1,0,0,0,0.1147,72.8416,18.9518,"(72.8416, 18.9518)","[1, 0, 0, 0]",1
386,1,0,0,0,0.1531,72.7932,18.9484,"(72.7932, 18.9484)","[1, 0, 0, 0]",1
387,1,0,0,0,0.3002,72.7961,18.9485,"(72.7961, 18.9485)","[1, 0, 0, 0]",1
388,1,0,0,0,0.0544,72.8018,18.9486,"(72.8018, 18.9486)","[1, 0, 0, 0]",1
