FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
1,0,0,0,1,1,1,64.9777777778,RIC,0,20,16,5,22,9,,0,36,576,1280,0,1856,8600,738,793,2.83556,395,0.123555556,1,10,64.9777777778,64.9778,72.83877455,18.94900788,72.8387745499999,18.94900788,LOW MED RISE,0,0
1,0,0,0,1,1,1,18.7199999999999,RC,0,12,8,5,0,15,Police station,0,20,288,768,0,1056,4680,134,575,1.47111,396,0.066666667,3,24,18.72,18.72,72.84162515,18.94904211,72.8416251499999,18.94904211,LOW MED RISE,0,0
1,0,0,0,1,1,1,541.494222221999,RS,2,100,22,0,120,0,School,4,124,792,6400,352,7544,26660,3480,1830,6.84022,397,0.362666667,5,5.5,541.494222222,541.494,72.79327485,18.94575789,72.79327485,18.9457578899999,LOW MED HIGH RISE,0,0
2,1,1,0,1,3,4,88.8619999999999,R,3,0,23,0,26,0,,0,26,828,0,528,1356,8490,836,495,4.82144,398,0.130666667,3,14,88.862,88.862,72.79613393,18.94576726,72.7961339299999,18.94576726,MED HIGH RISE,3,1
1,0,0,0,1,1,1,343.527777777999,RC,0,65,28,10,78,5,Railway station,0,93,1008,4160,0,5168,20750,2338,1774,5.76222,399,0.289555556,1,15,343.527777778,343.528,72.82456607,18.94613274,72.82456607,18.9461327399999,LOW MED RISE,0,0
1,0,0,0,3,1,1,1137.4,RC,0,90,64,54,100,0,,0,154,2304,5760,0,8064,36300,3208,4482,11.6089,400,0.518666667,10,10.25,1137.4,1137.4,72.82742515,18.94614211,72.8274251499999,18.94614211,LOW MED RISE,3,3
1,0,0,0,1,1,1,1502.152,RC,2,0,118,60,60,0,,0,120,4248,0,352,4600,36460,2300,4578,17.9868999999999,401,0.566222222,9,5.5,1502.152,1502.15,72.83028333,18.94618333,72.83028333,18.94618333,MED HIGH RISE,0,0
1,0,0,0,1,1,1,198.695111110999,RC,3,16,30,29,20,0,,0,49,1080,1024,528,2632,13630,805,1989,6.25533,402,0.202444444,1,10,198.695111111,198.695,72.83311667,18.94621667,72.8331166699999,18.9462166699999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,172.153111110999,RIC,3,20,25,30,11,7,Railway Industry,0,48,900,1280,528,2708,12890,584,2026,5.64256,403,0.188888889,7,23,172.153111111,172.153,72.83597485,18.94625789,72.8359748499999,18.9462578899999,LOW MED HIGH RISE,0,0
2,1,2,0,1,2,5,216.071111110999,RC,0,52,22,8,66,0,,0,74,792,3328,0,4120,16480,1946,1392,4.55222,404,0.229777778,3,26,216.071111111,216.071,72.82462545,18.94339212,72.8246254499999,18.9433921199999,LOW MED RISE,2,1
3,2,3,1,1,4,9,1360.21111111,RC,0,20,107,20,107,0,Near railway track,0,127,3852,1280,0,5132,35900,3397,2986,15.9293999999999,405,0.548222222,9,10.13,1360.21111111,1360.21,72.82747485,18.94345789,72.82747485,18.94345789,LOW MED RISE,4,1
1,0,0,0,1,1,1,150.692,RIC,3,0,32,6,17,12,School building as Industry,0,35,1152,0,528,1680,11190,707,957,6.11644,406,0.172666667,7,7.5,150.692,150.692,72.83032515,18.94344211,72.8303251499999,18.9434421099999,MED HIGH RISE,0,0
1,0,0,0,1,1,1,276.218666666999,RIC,2,0,48,15,23,12,School as Industry,0,50,1728,0,352,2080,15460,946,1578,7.91467,407,0.239555556,9,15,276.218666667,276.219,72.83317455,18.94350788,72.8331745499999,18.9435078799999,MED HIGH RISE,0,0
1,0,0,0,1,1,1,25.6,I,0,0,16,0,10,6,Railway station,0,16,576,0,0,576,4800,364,318,2.30222,408,0.074666667,4,21.5,25.6,25.6,72.83602515,18.94354211,72.8360251499999,18.9435421099999,MEDIUM RISE,1,1
